Date,Close
4/6/15,224.95
5/6/15,225.62
6/6/15,222.88
7/6/15,228.49
8/6/15,229.05
9/6/15,228.8
10/6/15,229.71
11/6/15,229.98
12/6/15,232.4
13/6/15,233.54
14/6/15,236.82
15/6/15,250.9
16/6/15,249.28
17/6/15,249.01
18/6/15,244.61
19/6/15,245.21
20/6/15,243.94
21/6/15,246.99
22/6/15,244.3
23/6/15,240.51
24/6/15,242.8
25/6/15,243.59
26/6/15,250.99
27/6/15,249.01
28/6/15,257.06
29/6/15,263.07
30/6/15,258.62
1/7/15,255.41
2/7/15,256.34
3/7/15,260.89
4/7/15,271.91
5/7/15,269.03
6/7/15,266.21
7/7/15,270.79
8/7/15,269.23
9/7/15,284.89
10/7/15,293.12
11/7/15,310.87
12/7/15,292.05
13/7/15,287.46
14/7/15,285.83
15/7/15,278.09
16/7/15,279.47
17/7/15,274.9
18/7/15,273.61
19/7/15,278.98
20/7/15,275.83
21/7/15,277.22
22/7/15,276.05
23/7/15,288.28
24/7/15,288.7
25/7/15,292.69
26/7/15,293.62
27/7/15,294.43
28/7/15,289.59
29/7/15,287.72
30/7/15,284.65
31/7/15,281.6
1/8/15,282.61
2/8/15,281.23
3/8/15,285.22
4/8/15,281.88
5/8/15,278.58
6/8/15,279.58
7/8/15,261
8/8/15,265.08
9/8/15,264.47
10/8/15,270.39
11/8/15,266.38
12/8/15,264.08
13/8/15,265.68
14/8/15,261.55
15/8/15,258.51
16/8/15,257.98
17/8/15,211.08
18/8/15,226.68
19/8/15,235.35
20/8/15,232.57
21/8/15,230.39
22/8/15,228.17
23/8/15,210.5
24/8/15,221.61
25/8/15,225.83
26/8/15,224.77
27/8/15,231.4
28/8/15,229.78
29/8/15,228.76
30/8/15,230.06
31/8/15,228.12
1/9/15,229.28
2/9/15,227.18
3/9/15,230.3
4/9/15,235.02
5/9/15,239.84
6/9/15,239.85
7/9/15,243.61
8/9/15,238.17
9/9/15,238.48
10/9/15,240.11
11/9/15,235.23
12/9/15,230.51
13/9/15,230.64
14/9/15,230.3
15/9/15,229.09
16/9/15,229.81
17/9/15,232.97
18/9/15,231.49
19/9/15,231.21
20/9/15,227.09
21/9/15,230.62
22/9/15,230.28
23/9/15,234.53
24/9/15,235.14
25/9/15,234.34
26/9/15,232.76
27/9/15,239.14
28/9/15,236.69
29/9/15,236.06
30/9/15,237.55
1/10/15,237.29
2/10/15,238.73
3/10/15,238.26
4/10/15,240.38
5/10/15,246.06
6/10/15,242.97
7/10/15,242.3
8/10/15,243.93
9/10/15,244.94
10/10/15,247.05
11/10/15,245.31
12/10/15,249.51
13/10/15,251.99
14/10/15,254.32
15/10/15,262.87
16/10/15,270.64
17/10/15,261.64
18/10/15,263.44
19/10/15,269.46
20/10/15,266.27
21/10/15,274.02
22/10/15,276.5
23/10/15,281.65
24/10/15,283.68
25/10/15,285.3
26/10/15,293.79
27/10/15,304.62
28/10/15,313.86
29/10/15,328.01
30/10/15,314.17
31/10/15,325.43
1/11/15,361.19
2/11/15,403.42
3/11/15,411.56
4/11/15,386.35
5/11/15,374.47
6/11/15,386.48
7/11/15,373.37
8/11/15,380.26
9/11/15,336.82
10/11/15,311.08
11/11/15,338.15
12/11/15,336.75
13/11/15,332.91
14/11/15,320.17
15/11/15,330.75
